,city,state_name_x,state_id,lat,lng,city_population,county_fips,county,county_population,density,timezone,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,wikipedia_summary,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,state_name_y
10,El Monte,California,CA,34.0739,-118.0291,115487,6037,Los Angeles County,10105722,4663,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"El Monte   (Spanish for ""the mountain"") is a residential, industrial, and commercial city in Los Angeles County, California, United States. The city lies in the San Gabriel Valley, east of the city of Los Angeles.
El Monte's slogan is ""Welcome to Friendly El Monte"" and historically is known as ""The End of the Santa Fe Trail"". As of the 2010 census, the city had a total population of 113,475, down from 115,965 at the 2000 census.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.03998262,6782.028673000001,CA
11,Downey,California,CA,33.9379,-118.1312,111126,6037,Los Angeles County,10105722,3457,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Downey is a city located in southeast Los Angeles County, California, United States, 13 mi (21 km) southeast of downtown Los Angeles. It is considered part of the Gateway Cities. The city is the birthplace of the Apollo space program. It is also the home of the oldest still operational McDonald's restaurant in the world.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.053470903,6782.028673000001,CA
12,Inglewood,California,CA,33.9566,-118.3444,108151,6037,Los Angeles County,10105722,4604,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Inglewood is a city in southwestern Los Angeles County, California, in the Los Angeles metropolitan area. As of the 2010 U.S. Census, the city had a population of 109,673. It was incorporated on February 14, 1908. The city is in the South Bay region of Los Angeles County and the city is near Los Angeles International Airport.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.053454869,6782.028673000001,CA
13,West Covina,California,CA,34.0555,-117.9112,105101,6037,Los Angeles County,10105722,2529,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"West Covina is a city in Los Angeles County, California, located 19 miles (31 km) east of Downtown Los Angeles in the eastern San Gabriel Valley and is part of Greater Los Angeles. The population for the city was 106,098 at the 2010 census.
West Covina is bordered by Covina to its north and east side. Baldwin Park is to the west, Irwindale to the northwest, La Puente to the south, and Walnut to the southeast.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.057204439,6782.028673000001,CA
14,Norwalk,California,CA,33.9069,-118.0829,103949,6037,Los Angeles County,10105722,4133,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Norwalk is a suburban city in Los Angeles County, California, United States. The population was 105,549 at the 2010 census and an estimated 103,949 in 2019. It is the 58th most densely-populated city in California.Founded in the late 19th century, Norwalk was incorporated as a city in 1957. It is located 17 miles (27 km) southeast of downtown Los Angeles and is part of the Greater Los Angeles area.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.039322602000000005,6782.028673000001,CA
15,Burbank,California,CA,34.1879,-118.3235,102511,6037,Los Angeles County,10105722,2285,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Burbank is a city in Los Angeles County in Southern California, United States, 12 miles (19 km) northwest of downtown Los Angeles, in the southeastern end of the San Fernando Valley. The population at the 2010 census was 103,340.Billed as the ""Media Capital of the World"" and only a few miles northeast of Hollywood, numerous media and entertainment companies are headquartered or have significant production facilities in Burbank, including Warner Bros. Entertainment, The Walt Disney Company, Nickelodeon Animation Studios, The Burbank Studios, Cartoon Network Studios with the West Coast branch of Cartoon Network, and Insomniac Games. The Hollywood Burbank Airport was the location of Lockheed's Skunk Works, which produced some of the most secret and technologically advanced airplanes, including the U-2 spy planes that uncovered the Soviet Union missile components in Cuba in October 1962.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.051801823,6782.028673000001,CA
16,Burbank,California,CA,37.3212,-121.9306,102511,6085,Santa Clara County,1911226,4872,America/Los_Angeles,50.403092,49.596908,26.1,32.6,2.4,0.2,34.9,0.3,60.7996647,8.6,9.7,5.7,52.1,15.1,18.6,6.3,7.9,75.1,10.5,4.4,2.1,3.1,4.8,84.7,9.3,5.9,0.1,106761,858,48689,418,28.0,1202.055644,19.56859105,1.6279272219999998,60.0,17.09,48.2,71.8,"Burbank is a city in Los Angeles County in Southern California, United States, 12 miles (19 km) northwest of downtown Los Angeles, in the southeastern end of the San Fernando Valley. The population at the 2010 census was 103,340.Billed as the ""Media Capital of the World"" and only a few miles northeast of Hollywood, numerous media and entertainment companies are headquartered or have significant production facilities in Burbank, including Warner Bros. Entertainment, The Walt Disney Company, Nickelodeon Animation Studios, The Burbank Studios, Cartoon Network Studios with the West Coast branch of Cartoon Network, and Insomniac Games. The Hollywood Burbank Airport was the location of Lockheed's Skunk Works, which produced some of the most secret and technologically advanced airplanes, including the U-2 spy planes that uncovered the Soviet Union missile components in Cuba in October 1962.",1142325,38.06624312,39.42445211,12.21576441,6.56837155,12.92882356,50.89670095,3.8661638660000004,43.35984373,1.0836632720000001,1,20.58038195,72.71244222,0.051801823,8077.2448349999995,CA
17,Compton,California,CA,33.893,-118.2275,95605,6037,Los Angeles County,10105722,3680,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Compton is a city in southern Los Angeles County, California, United States, situated south of downtown Los Angeles. Compton is one of the oldest cities in the county and, on May 11, 1888, was the eighth city in California to incorporate. As of the 2010 United States Census, the city had a total population of 96,456. It is known as the ""Hub City"" due to its geographic centrality in Los Angeles County.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.059127364,6782.028673000001,CA
18,South Gate,California,CA,33.9448,-118.1926,93444,6037,Los Angeles County,10105722,4985,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"South Gate is the 17th largest city in Los Angeles County, California, with 7.4 square miles (19 km2). South Gate is located 7 miles (11 km) southeast of Downtown Los Angeles. It is part of the Gateway Cities region of southeastern Los Angeles County.
The city was incorporated on January 20, 1923, and it became known as the ""Azalea City"" when it adopted the flower as its symbol in 1965.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.073645053,6782.028673000001,CA
19,Carson,California,CA,33.8374,-118.2559,91394,6037,Los Angeles County,10105722,1883,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Carson is a city in Los Angeles County, California in the suburban area of Los Angeles, located 13 miles (21 km) south of downtown Los Angeles and approximately 14 miles away from the Los Angeles International Airport. Incorporated on February 20, 1968, Carson is the newest municipality in the South Bay region of Metropolitan Los Angeles. As of 2019, it was estimated that the city had a population of 91,394.


== History ==
The year 1921 marked the first drilling for oil at Dominguez Hill, on the northwest side of the Dominguez Rancho, site of the famous battle during the Mexican–American War called the Battle of Dominguez Rancho in 1846.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.050546025,6782.028673000001,CA
20,Santa Monica,California,CA,34.0232,-118.4813,90401,6037,Los Angeles County,10105722,4147,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Santa Monica (Spanish for 'Saint Monica') is a beachfront city in western Los Angeles County, California, United States. Situated on Santa Monica Bay, it is bordered on three sides by different neighborhoods of the city of Los Angeles: Pacific Palisades to the north, Brentwood on the northeast, West Los Angeles on the east, Mar Vista on the southeast, and Venice on the south. The 2010 U.S. Census population was 89,736. Due to a favorable climate and close proximity to Los Angeles, Santa Monica became a famed resort town by the early 20th century attracting many celebrities, like Marion Davies, to build magnificent beach front homes on Roosevelt Highway (PCH).",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.08675210000000001,6782.028673000001,CA
21,Hawthorne,California,CA,33.9146,-118.3476,86068,6037,Los Angeles County,10105722,5463,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Hawthorne is a city in southwestern Los Angeles County, California. As of the 2010 US census, it had a population of 84,293. In 2019, the population was estimated at 86,068.


== History ==
The city was founded in 1905 as the ""Hawthorne Improvement Company"" by B.L. Harding and H.D. Lombard.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.063341251,6782.028673000001,CA
22,Whittier,California,CA,33.9678,-118.0188,85098,6037,Los Angeles County,10105722,2242,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Whittier () is a city in Southern California in Los Angeles County, part of the Gateway Cities. The  14.7-square-mile (38.0 km2) city had 85,331 residents as of the 2010 United States Census, up 1,631 in ten years. Whittier was incorporated in February 1898 and became a charter city in 1955. The city is named for the Quaker poet John Greenleaf Whittier and is home to Whittier College.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.060484927,6782.028673000001,CA
23,Alhambra,California,CA,34.084,-118.1355,83750,6037,Los Angeles County,10105722,4237,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Alhambra ( (listen),  (listen), Spanish: Alhambra Spanish: [aˈlambɾa], or Arabic: الْحَمْرَاء‎, romanized: Al-Ḥamrāʾ; Chinese: 阿罕布拉市) is a city located in the western San Gabriel Valley region of Los Angeles County, California, United States, approximately eight miles from the Downtown Los Angeles civic center. It was incorporated on July 11, 1903. As of the 2010 census, the population was 83,089. The city's ZIP Codes are 91801 and 91803 (plus 91802 for P.O. boxes).",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.046788512000000004,6782.028673000001,CA
24,Lakewood,California,CA,33.8471,-118.1221,79307,6037,Los Angeles County,10105722,3253,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Lakewood is a city in Los Angeles County, California, United States. The population was 80,048 at the 2010 census. It is bordered by Long Beach on the west and south, Bellflower on the north, Cerritos on the northeast, Cypress on the east, and Hawaiian Gardens on the southeast. Major thoroughfares include Lakewood (SR 19), Bellflower, and Del Amo Boulevards and Carson and South Streets.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.056333565,6782.028673000001,CA
25,Bellflower,California,CA,33.888000000000005,-118.1271,76435,6037,Los Angeles County,10105722,4822,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Bellflower is a city located in southeast Los Angeles County, California, in the Los Angeles metropolitan area. It was founded in 1906 and became incorporated on September 3, 1957. As of the 2010 census, the city had a total population of 76,616, up from 72,878 at the 2000 census. As of the 2010 census, Bellflower is the 25th most densely populated city in the United States, of cities over 50,000 residents (and 8th most densely populated in California).The city was founded by F.E. Woodruff in 1906 and originally named Somerset in 1909 when the post office was established.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.051325746,6782.028673000001,CA
